tests_total,deaths_total,tests_1M_pop,continent,cases_recovered,cases_total,time,deaths_new,cases_active,population,deaths_1M_pop,cases_new,day,cases_1M_pop,country,cases_critical
358675,1051,281374,Africa,41278,43025,2024-03-28T13:30:04+00:00,,696,1274727,824,,2024-03-28,33752,Mauritius,
345742,38,27386,Africa,53569,54721,2024-03-28T13:30:04+00:00,,1114,12624840,3,,2024-03-28,4334,Burundi,
401622,417,707482,Africa,63755,64477,2024-03-28T13:30:04+00:00,,305,567678,735,,2024-03-28,113580,Cabo-Verde,23
4659757,9428,899158,North-America,,1238883,2024-03-28T13:30:04+00:00,,,5182354,1819,,2024-03-28,239058,Costa-Rica,
5013383,29423,416164,Africa,,1153361,2024-03-28T13:30:04+00:00,,,12046656,2442,,2024-03-28,95741,Tunisia,
45481735,9646,1268848,Asia,,841469,2024-03-28T13:30:04+00:00,,,35844909,269,,2024-03-28,23475,Saudi-Arabia,
3078533,5404,575907,Asia,615445,621008,2024-03-28T13:30:04+00:00,,159,5345541,1011,,2024-03-28,116173,Palestine,
25000000,4628,4695724,Asia,,399449,2024-03-28T13:30:04+00:00,,,5323993,869,,2024-03-28,75028,Oman,
3967062,5689,70569,Africa,337309,344130,2024-03-28T13:30:04+00:00,,1132,56215221,101,,2024-03-28,6122,Kenya,
913289,4390,649295,North-America,187078,191496,2024-03-28T13:30:04+00:00,,28,1406585,3121,,2024-03-28,136143,Trinidad-and-Tobago,
98964,314,340182,Oceania,,80064,2024-03-28T13:30:04+00:00,,,290915,1079,,2024-03-28,275214,New-Caledonia,
249149,670,26813,Oceania,46168,46864,2024-03-28T13:30:04+00:00,,26,9292169,72,,2024-03-28,5043,Papua-New-Guinea,
1660662,11165,162472,North-America,,474590,2024-03-28T13:30:04+00:00,,,10221247,1092,,2024-03-28,46432,Honduras,
828928,1102,2215870,North-America,,230354,2024-03-28T13:30:04+00:00,,,374087,2946,,2024-03-28,615777,Martinique,
938039,1021,2346306,North-America,,203235,2024-03-28T13:30:04+00:00,,,399794,2554,,2024-03-28,508349,Guadeloupe,
249838,165,3225256,Europe,,48015,2024-03-28T13:30:04+00:00,,,77463,2130,,2024-03-28,619844,Andorra,
778000,28,15802409,Europe,,34658,2024-03-28T13:30:04+00:00,,,49233,569,,2024-03-28,703959,Faeroe-Islands,
200732262,2349,19910389,Asia,,1067030,2024-03-28T13:30:04+00:00,,,10081785,233,,2024-03-28,105837,UAE,
10948549,1574,6137138,Asia,727915,729549,2024-03-28T13:30:04+00:00,,60,1783983,882,,2024-03-28,408944,Bahrain,
1603660,921,1766027,Africa,,494595,2024-03-28T13:30:04+00:00,,,908061,1014,,2024-03-28,544672,R&eacute;union,
1621909,307,695641,Africa,48674,49051,2024-03-28T13:30:04+00:00,,70,2331533,132,,2024-03-28,21038,Gabon,
660107,468,47607,Africa,37757,38572,2024-03-28T13:30:04+00:00,,347,13865691,34,,2024-03-28,2782,Guinea,
230960,6881,5093,Africa,183061,272010,2024-03-28T13:30:04+00:00,,82068,45350148,152,,2024-03-28,5998,Algeria,
1371127,2250,41437,Africa,228805,233731,2024-03-28T13:30:04+00:00,,2676,33089461,68,,2024-03-28,7064,Mozambique,11
4112961,4069,211244,Africa,341316,349304,2024-03-28T13:30:04+00:00,,3919,19470234,209,,2024-03-28,17940,Zambia,
6114822,7664,1749083,South-America,1030944,1041111,2024-03-28T13:30:04+00:00,,2503,3496016,2192,,2024-03-28,297799,Uruguay,18
2541625,1462,78456,Africa,170425,171889,2024-03-28T13:30:04+00:00,,2,32395450,45,,2024-03-28,5306,Ghana,
,172,,Africa,51048,51220,2024-03-28T13:30:04+00:00,,0,99426,1730,,2024-03-28,515157,Seychelles,
,846,,Africa,,43223,2024-03-28T13:30:04+00:00,,,63298550,13,,2024-03-28,683,Tanzania,
804909,743,37483,Africa,32332,33164,2024-03-28T13:30:04+00:00,,89,21473764,35,,2024-03-28,1544,Mali,
1048704,1427,885119,Africa,73116,75191,2024-03-28T13:30:04+00:00,,648,1184817,1204,,2024-03-28,63462,Eswatini,
1690934,835,60951,Africa,87497,88384,2024-03-28T13:30:04+00:00,,52,27742298,30,,2024-03-28,3186,Ivory-Coast,
846704,1468,8890,Africa,84489,99338,2024-03-28T13:30:04+00:00,,13381,95240792,15,,2024-03-28,1043,DRC,
2710261,22407,225993,South-America,1177145,1211716,2024-03-28T13:30:04+00:00,,12164,11992656,1868,,2024-03-28,101038,Bolivia,220
733218,1300,923396,South-America,72013,74137,2024-03-28T13:30:04+00:00,,824,794045,1637,,2024-03-28,93366,Guyana,
5660084,18687,1394355,Europe,1258432,1309728,2024-03-28T13:30:04+00:00,,32609,4059286,4604,,2024-03-28,322650,Croatia,
2610114,4230,398467,North-America,179410,201855,2024-03-28T13:30:04+00:00,,18215,6550389,646,,2024-03-28,30816,El-Salvador,
1146543,1971,64946,Africa,87024,89053,2024-03-28T13:30:04+00:00,,58,17653671,112,,2024-03-28,5044,Senegal,
,650,,Oceania,,79254,2024-03-28T13:30:04+00:00,,,284164,2287,,2024-03-28,278902,French-Polynesia,
531329,1426,18210,Africa,66862,68486,2024-03-28T13:30:04+00:00,,198,29178077,49,,2024-03-28,2347,Madagascar,
9640118,1365,7879860,Asia,679745,681110,2024-03-28T13:30:04+00:00,,0,1223387,1116,,2024-03-28,556741,Cyprus,
3082403,36043,170173,South-America,1034145,1070188,2024-03-28T13:30:04+00:00,,0,18113361,1990,,2024-03-28,59083,Ecuador,
576016,688,1397453,North-America,,71381,2024-03-28T13:30:04+00:00,,,412190,1669,,2024-03-28,173175,Belize,
1941032,3605,677173,Europe,330233,334863,2024-03-28T13:30:04+00:00,,1025,2866374,1258,,2024-03-28,116825,Albania,
431221,723,198199,Africa,25980,36138,2024-03-28T13:30:04+00:00,,9435,2175699,332,,2024-03-28,16610,Lesotho,
5708974,3155,26339,Africa,259953,267188,2024-03-28T13:30:04+00:00,,4080,216746934,15,,2024-03-28,1233,Nigeria,11
814159,648,2826715,North-America,108647,110575,2024-03-28T13:30:04+00:00,,1280,288023,2250,,2024-03-28,383910,Barbados,
132422,860,11337,North-America,33734,34667,2024-03-28T13:30:04+00:00,,73,11680283,74,,2024-03-28,2968,Haiti,
3740928,4384,338350,North-America,671316,675890,2024-03-28T13:30:04+00:00,,190,11056370,397,,2024-03-28,61131,Dominican-Republic,4
624784,2686,30959,Africa,,89535,2024-03-28T13:30:04+00:00,,,20180839,133,,2024-03-28,4437,Malawi,
1751774,1974,62762,Africa,123280,125379,2024-03-28T13:30:04+00:00,,125,27911548,71,,2024-03-28,4492,Cameroon,
2657506,20155,363751,South-America,,837602,2024-03-28T13:30:04+00:00,,,7305843,2759,,2024-03-28,114648,Paraguay,
210983,410,1139752,North-America,29805,30215,2024-03-28T13:30:04+00:00,,0,185113,2215,,2024-03-28,163225,Saint-Lucia,
815088,290,93895,Africa,39277,39569,2024-03-28T13:30:04+00:00,,2,8680837,33,,2024-03-28,4558,Togo,
7882622,8727,1772585,North-America,1051102,1059893,2024-03-28T13:30:04+00:00,,64,4446964,1962,,2024-03-28,238341,Panama,16
6953709,3001,5260350,Europe,,627927,2024-03-28T13:30:04+00:00,,,1321910,2270,+52,2024-03-28,475015,Estonia,
1366532,7985,33531,Asia,210164,232152,2024-03-28T13:30:04+00:00,,14003,40754388,196,+3,2024-03-28,5696,Afghanistan,
1183986,3756,396633,North-America,,156869,2024-03-28T13:30:04+00:00,,,2985094,1258,,2024-03-28,52551,Jamaica,
2769281,2846,4410034,Europe,291794,296506,2024-03-28T13:30:04+00:00,,1866,627950,4532,+5,2024-03-28,472181,Montenegro,
